monthyear,bronx,brooklyn,manhattan,queens,staten,citywide
2017/01,671,539,276,333,60,1879
2017/02,490,436,200,256,60,1442
2017/03,594,510,238,339,54,1735
2017/04,533,454,235,287,60,1569
2017/05,669,480,239,313,64,1765
2017/06,602,480,223,325,47,1677
2017/07,454,411,227,280,57,1429
2017/08,595,492,269,327,58,1741
2017/09,591,414,228,277,46,1556
2017/10,608,451,272,310,65,1706
2017/11,601,414,192,250,49,1506
2017/12,483,331,123,168,24,1129
2018/01,758,538,235,321,58,1910
2018/02,571,389,200,310,48,1518
2018/03,488,484,254,339,59,1624
2018/04,546,477,263,305,63,1654
2018/05,679,496,260,315,49,1799
2018/06,566,461,225,285,52,1589
2018/07,524,428,226,362,43,1583
2018/08,565,454,239,352,56,1666
2018/09,428,393,176,290,40,1327
2018/10,469,482,202,274,66,1493
2018/11,421,358,176,231,55,1241
2018/12,341,270,150,170,48,979
2019/01,582,468,245,364,45,1704
2019/02,494,368,212,281,48,1403
2019/03,484,389,188,309,52,1422
2019/04,524,345,249,276,62,1456
2019/05,535,422,197,277,58,1489
2019/06,449,389,206,225,61,1330
2019/07,485,405,170,264,51,1375
2019/08,481,355,169,235,48,1288
2019/09,408,406,122,208,40,1184
2019/10,378,378,174,190,44,1164
2019/11,315,272,134,192,30,943
2019/12,282,243,129,111,21,786
2020/01,452,358,185,265,42,1302
2020/02,339,293,124,175,30,961
2020/03,146,153,77,94,20,490
2020/04,0,0,0,0,0,0
2020/05,0,0,0,0,0,0
2020/06,0,0,0,0,0,0
2020/07,0,0,0,0,0,0
2020/08,0,0,0,0,0,0
2020/09,0,0,0,0,0,0
2020/10,0,0,0,0,0,0
2020/11,0,2,0,1,0,3
2020/12,1,2,0,0,2,5
2021/01,0,0,0,0,0,0
2021/02,0,0,0,0,0,0
2021/03,0,0,0,0,0,0
2021/04,0,3,0,0,0,3
2021/05,0,4,1,0,0,5
2021/06,1,2,0,1,2,6
2021/07,2,12,6,1,6,27
2021/08,6,6,5,5,8,30
2021/09,0,3,1,3,1,8
2021/10,0,2,3,2,3,10
2021/11,2,11,1,6,2,22
2021/12,3,8,1,4,5,21
2022/01,35,19,9,16,15,94
2022/02,37,50,14,20,13,134
2022/03,31,84,22,44,16,197
2022/04,36,96,23,50,14,219
2022/05,61,117,38,51,23,290
2022/06,62,117,44,62,12,297
2022/07,66,121,50,55,18,310
2022/08,67,161,62,72,13,375
2022/09,102,150,73,67,14,406
2022/10,185,169,97,62,29,542
2022/11,189,244,108,63,35,639
2022/12,94,127,80,43,26,370
