monthyear,bronx,brooklyn,manhattan,queens,staten,citywide
2017/01,670,531,275,319,60,1855
2017/02,485,427,200,250,60,1422
2017/03,590,503,237,330,53,1713
2017/04,528,442,235,277,60,1542
2017/05,665,475,239,301,64,1744
2017/06,596,470,223,312,47,1648
2017/07,450,406,225,274,57,1412
2017/08,591,482,268,308,58,1707
2017/09,585,406,227,266,46,1530
2017/10,598,442,270,299,63,1672
2017/11,597,400,192,238,46,1473
2017/12,473,323,123,164,24,1107
2018/01,756,519,235,303,58,1871
2018/02,564,384,199,292,48,1487
2018/03,487,474,252,328,59,1600
2018/04,542,463,263,291,62,1621
2018/05,667,483,258,305,48,1761
2018/06,564,448,224,272,52,1560
2018/07,518,417,226,350,42,1553
2018/08,564,441,237,334,56,1632
2018/09,425,378,176,278,39,1296
2018/10,468,474,201,261,65,1469
2018/11,420,351,174,221,55,1221
2018/12,339,265,150,162,47,963
2019/01,575,457,245,342,44,1663
2019/02,488,355,211,271,48,1373
2019/03,479,384,186,289,50,1388
2019/04,519,335,247,262,60,1423
2019/05,528,412,195,262,58,1455
2019/06,448,377,205,212,59,1301
2019/07,483,395,170,254,51,1353
2019/08,476,340,169,224,48,1257
2019/09,402,392,121,193,39,1147
2019/10,373,366,174,184,42,1139
2019/11,314,265,133,182,30,924
2019/12,278,237,129,106,21,771
2020/01,444,345,184,249,41,1263
2020/02,332,285,124,163,29,933
2020/03,144,140,75,91,20,470
2020/04,0,2,0,1,0,3
2020/05,1,2,0,0,2,5
2020/06,0,2,0,0,0,2
2020/07,0,3,1,0,0,4
2020/08,1,2,0,1,2,6
2020/09,2,12,6,1,6,27
2020/10,6,6,5,4,7,28
2020/11,0,3,1,3,1,8
2020/12,0,2,3,2,3,10
2021/01,2,11,1,6,2,22
2021/02,3,8,1,4,5,21
2021/03,35,19,9,15,14,92
2021/04,36,49,14,19,13,131
2021/05,31,84,23,43,16,197
2021/06,36,94,23,50,13,216
2021/07,59,115,38,48,23,283
2021/08,58,115,44,62,12,291
2021/09,0,3,1,3,1,8
2021/10,0,2,3,2,3,10
2021/11,2,11,1,6,2,22
2021/12,3,8,1,4,5,21
2022/01,35,19,9,15,14,92
2022/02,36,49,14,19,13,131
2022/03,31,84,23,43,16,197
2022/04,36,94,23,50,13,216
2022/05,59,115,38,48,23,283
2022/06,58,115,44,62,12,291
