monthyear,bronx,brooklyn,manhattan,queens,staten,citywide
2017/01,734,599,287,377,60,2057
2017/02,527,481,209,291,63,1571
2017/03,636,556,246,392,60,1890
2017/04,579,494,251,320,64,1708
2017/05,711,516,248,368,69,1912
2017/06,637,531,238,377,51,1834
2017/07,496,444,236,315,61,1552
2017/08,633,538,279,376,66,1892
2017/09,632,445,237,314,48,1676
2017/10,651,491,279,347,72,1840
2017/11,643,449,203,289,55,1639
2017/12,518,357,131,202,24,1232
2018/01,823,583,249,366,61,2082
2018/02,610,431,203,350,50,1644
2018/03,518,521,259,392,62,1752
2018/04,582,510,270,352,69,1783
2018/05,725,538,273,369,49,1954
2018/06,606,492,236,327,53,1714
2018/07,573,474,239,413,43,1742
2018/08,610,499,250,395,58,1812
2018/09,462,428,188,328,41,1447
2018/10,506,523,208,309,68,1614
2018/11,463,398,181,266,57,1365
2018/12,382,305,157,186,49,1079
2019/01,630,514,250,416,47,1857
2019/02,531,398,215,314,53,1511
2019/03,514,422,196,346,56,1534
2019/04,566,385,260,310,64,1585
2019/05,574,463,203,317,61,1618
2019/06,486,426,218,262,63,1455
2019/07,517,442,177,299,58,1493
2019/08,519,391,179,266,51,1406
2019/09,456,448,128,245,41,1318
2019/10,408,426,188,221,50,1293
2019/11,364,304,146,226,32,1072
2019/12,335,267,143,128,21,894
2020/01,501,408,193,308,47,1457
2020/02,370,315,133,205,32,1055
2020/03,157,173,85,107,21,543
2020/11,0,2,0,1,0,3
2020/12,1,2,0,0,3,6
2021/04,0,3,0,0,0,3
2021/05,0,4,2,0,0,6
2021/06,2,3,0,2,2,9
2021/07,2,15,9,1,6,33
2021/08,6,6,6,5,10,33
2021/09,0,5,1,3,2,11
2021/10,0,3,3,2,4,12
2021/11,2,12,1,8,2,25
2021/12,5,11,2,5,5,28
2022/01,37,22,9,20,15,103
2022/02,40,54,15,23,13,145
2022/03,33,89,23,50,16,211
2022/04,38,107,23,51,15,234
2022/05,65,123,40,54,27,309
2022/06,67,124,47,64,13,315
2022/07,71,123,47,56,20,317
