monthyear,warrantsPDF,warrantsSite,warrants,executed,filingsPDF,filingsSite,filings
2017/01,9744,,9744,2057,19178,,19178
2017/02,8001,,8001,1571,19369,,19369
2017/03,10818,,10818,1890,20252,,20252
2017/04,8108,,8108,1708,15871,,15871
2017/05,8964,,8964,1912,18478,,18478
2017/06,8599,,8599,1834,17645,,17645
2017/07,8824,,8824,1552,18676,,18676
2017/08,9152,,9152,1892,20898,,20898
2017/09,8776,,8776,1676,18462,,18462
2017/10,9361,,9361,1840,20019,,20019
2017/11,7085,,7085,1639,19276,,19276
2017/12,8717,,8717,1232,18750,,18750
2018/01,8986,,8986,2082,20848,,20848
2018/02,9376,,9376,1644,18056,,18056
2018/03,9556,,9556,1752,18492,,18492
2018/04,8778,,8778,1783,16025,,16025
2018/05,7796,,7796,1954,16270,,16270
2018/06,7644,,7644,1714,17624,,17624
2018/07,7161,,7161,1742,18229,,18229
2018/08,7560,,7560,1812,20447,,20447
2018/09,6587,,6587,1447,15719,,15719
2018/10,8671,,8671,1614,20971,,20971
2018/11,7105,,7105,1365,18772,,18772
2018/12,7236,,7236,1079,17099,,17099
2019/01,8649,8649,8649,1857,20020,20020,20020
2019/02,6928,6928,6928,1511,17054,17054,17054
2019/03,8102,8102,8102,1534,16457,16457,16457
2019/04,7534,7534,7534,1585,16888,16888,16888
2019/05,7833,7833,7833,1618,17401,17401,17401
2019/06,6920,6920,6920,1455,12553,12553,12553
2019/07,5909,5909,5909,1493,6938,6938,6938
2019/08,5812,5812,5812,1406,11672,11672,11672
2019/09,4738,4738,4738,1318,12534,12534,12534
2019/10,5481,5481,5481,1293,13721,13721,13721
2019/11,4932,4932,4932,1072,12826,12826,12826
2019/12,5591,5591,5591,894,13469,13469,13469
2020/01,5741,5741,5741,1457,14565,14564,14564
2020/02,5416,5415,5415,1055,13313,13313,13313
2020/03,3679,3678,3678,543,9055,9055,9055
2020/04,0,0,0,0,4,4,4
2020/05,1,1,1,0,4,4,4
2020/06,7,7,7,0,10,10,10
2020/07,1,1,1,0,1904,1904,1904
2020/08,2,2,2,0,5740,5740,5740
2020/09,6,6,6,0,7150,7150,7150
2020/10,4,4,4,0,8120,8120,8120
2020/11,42,42,42,3,7524,7524,7524
2020/12,89,89,89,6,7644,7644,7644
2021/01,0,0,0,0,440,440,440
2021/02,6,6,6,0,1371,1371,1371
2021/03,1,1,1,0,3404,3404,3404
2021/04,25,25,25,3,4946,4947,4947
2021/05,34,34,34,6,5178,5177,5177
2021/06,66,66,66,9,5026,5026,5026
2021/07,73,73,73,33,3981,3981,3981
2021/08,143,142,142,33,4301,4300,4300
2021/09,34,34,34,11,2326,2326,2326
2021/10,86,86,86,12,3329,3330,3330
2021/11,128,128,128,25,3826,3822,3822
2021/12,223,223,223,28,3982,3985,3985
2022/01,263,263,263,103,5502,5503,5503
2022/02,285,285,285,145,6391,6392,6392
2022/03,611,611,611,211,9013,9017,9017
2022/04,712,711,711,234,8985,8987,8987
2022/05,718,718,718,309,9312,9364,9364
2022/06,896,895,895,315,4888,8605,8605
2022/07,,707,707,317,,5336,5336
